,code,name,block_name,weight,date
0,szse.000001,平安银行,payh,0.009729999999999999,2017-12-29
1,szse.000002,万科A,wka,0.01287,2017-12-29
2,szse.000008,神州高铁,szgt,0.00126,2017-12-29
3,szse.000060,中金岭南,zjln,0.00159,2017-12-29
4,szse.000063,中兴通讯,zxtx,0.00737,2017-12-29
5,szse.000069,华侨城A,hqca,0.0023699999999999997,2017-12-29
6,szse.000100,TCL科技,tclkj,0.00269,2017-12-29
7,szse.000157,中联重科,zlzk,0.00166,2017-12-29
8,szse.000166,申万宏源,swhy,0.0027500000000000003,2017-12-29
9,szse.000333,美的集团,mdjt,0.02146,2017-12-29
10,szse.000338,潍柴动力,wcdl,0.00344,2017-12-29
11,szse.000402,金融街,jrj,0.00113,2017-12-29
12,szse.000413,ST旭电,stxd,0.00307,2017-12-29
13,szse.000415,渤海租赁,bhzl,0.00091,2017-12-29
14,szse.000423,东阿阿胶,deej,0.00269,2017-12-29
15,szse.000425,徐工机械,xgjx,0.00166,2017-12-29
16,szse.000503,国新健康,gxjk,0.00264,2017-12-29
17,szse.000538,云南白药,ynby,0.00452,2017-12-29
18,szse.000540,*ST中天,*stzt,0.0017699999999999999,2017-12-29
19,szse.000559,万向钱潮,wxqc,0.0011899999999999999,2017-12-29
20,szse.000568,泸州老窖,lzlj,0.0041199999999999995,2017-12-29
21,szse.000623,吉林敖东,jlad,0.00178,2017-12-29
22,szse.000625,长安汽车,caqc,0.00209,2017-12-29
23,szse.000627,天茂集团,tmjt,0.00101,2017-12-29
24,szse.000630,铜陵有色,tlys,0.00157,2017-12-29
25,szse.000651,格力电器,gldq,0.017920000000000002,2017-12-29
26,szse.000671,ST阳光城,stygc,0.00109,2017-12-29
27,szse.000686,东北证券,dbzq,0.00105,2017-12-29
28,szse.000709,河钢股份,hggf,0.0014099999999999998,2017-12-29
29,szse.000723,美锦能源,mjny,0.0007199999999999999,2017-12-29
30,szse.000725,京东方A,jdfa,0.01169,2017-12-29
31,szse.000728,国元证券,gyzq,0.00189,2017-12-29
32,szse.000738,航发控制,hfkz,0.0006,2017-12-29
33,szse.000750,国海证券,ghzq,0.00123,2017-12-29
34,szse.000768,中航西飞,zhxf,0.00199,2017-12-29
35,szse.000776,广发证券,gfzq,0.00421,2017-12-29
36,szse.000783,长江证券,cjzq,0.0026,2017-12-29
37,szse.000792,盐湖股份,yhgf,0.00165,2017-12-29
38,szse.000826,启迪环境,qdhj,0.0014399999999999999,2017-12-29
39,szse.000839,中信国安,zxga,0.0022400000000000002,2017-12-29
40,szse.000858,五粮液,wly,0.012920000000000001,2017-12-29
41,szse.000876,新希望,xxw,0.00134,2017-12-29
42,szse.000895,双汇发展,shfz,0.0022400000000000002,2017-12-29
43,szse.000898,鞍钢股份,aggf,0.001,2017-12-29
44,szse.000938,紫光股份,zggf,0.0009,2017-12-29
45,szse.000959,首钢股份,sggf,0.0008100000000000001,2017-12-29
46,szse.000961,ST中南,stzn,0.00101,2017-12-29
47,szse.000963,华东医药,hdyy,0.00223,2017-12-29
48,szse.000983,山西焦煤,sxjm,0.00136,2017-12-29
49,szse.001979,招商蛇口,zssk,0.00395,2017-12-29
50,szse.002007,华兰生物,hlsw,0.00128,2017-12-29
51,szse.002008,大族激光,dzjg,0.00359,2017-12-29
52,szse.002024,ST易购,styg,0.0039000000000000003,2017-12-29
53,szse.002027,分众传媒,fzcm,0.005869999999999999,2017-12-29
54,szse.002044,美年健康,mnjk,0.00194,2017-12-29
55,szse.002065,东华软件,dhrj,0.00132,2017-12-29
56,szse.002074,国轩高科,gxgk,0.0012900000000000001,2017-12-29
57,szse.002081,金螳螂,jtl,0.00207,2017-12-29
58,szse.002142,宁波银行,nbyh,0.00385,2017-12-29
59,szse.002146,荣盛发展,rsfz,0.0014099999999999998,2017-12-29
60,szse.002153,石基信息,sjxx,0.00073,2017-12-29
61,szse.002174,游族网络,yzwl,0.00082,2017-12-29
62,szse.002202,金风科技,jfkj,0.0032700000000000003,2017-12-29
63,szse.002230,科大讯飞,kdxf,0.0049,2017-12-29
64,szse.002236,大华股份,dhgf,0.0034200000000000003,2017-12-29
65,szse.002241,歌尔股份,gegf,0.0028799999999999997,2017-12-29
66,szse.002252,上海莱士,shls,0.00252,2017-12-29
67,szse.002292,奥飞娱乐,afyl,0.00064,2017-12-29
68,szse.002294,信立泰,xlt,0.00161,2017-12-29
69,szse.002304,洋河股份,yhgf,0.0059099999999999995,2017-12-29
70,szse.002310,*ST东园,*stdy,0.0023,2017-12-29
71,szse.002352,顺丰控股,sfkg,0.00095,2017-12-29
72,szse.002385,大北农,dbn,0.00106,2017-12-29
73,szse.002411,必康退,bkt,0.0007000000000000001,2017-12-29
74,szse.002415,海康威视,hkws,0.012270000000000001,2017-12-29
75,szse.002424,ST百灵,stbl,0.0005600000000000001,2017-12-29
76,szse.002426,胜利精密,sljm,0.0010199999999999999,2017-12-29
77,szse.002450,康得退,kdt,0.0040100000000000005,2017-12-29
78,szse.002456,欧菲光,ofg,0.00333,2017-12-29
79,szse.002460,赣锋锂业,gfly,0.00312,2017-12-29
80,szse.002465,海格通信,hgtx,0.00132,2017-12-29
81,szse.002466,天齐锂业,tqly,0.00311,2017-12-29
82,szse.002468,申通快递,stkd,0.00064,2017-12-29
83,szse.002470,金正大,jzd,0.00123,2017-12-29
84,szse.002475,立讯精密,lxjm,0.00317,2017-12-29
85,szse.002500,山西证券,sxzq,0.00133,2017-12-29
86,szse.002508,老板电器,lbdq,0.00194,2017-12-29
87,szse.002555,三七互娱,sqhy,0.0005600000000000001,2017-12-29
88,szse.002558,巨人网络,jrwl,0.0019,2017-12-29
89,szse.002572,索菲亚,sfy,0.0017399999999999998,2017-12-29
90,szse.002594,比亚迪,byd,0.00503,2017-12-29
91,szse.002601,龙佰集团,lbjt,0.00083,2017-12-29
92,szse.002602,世纪华通,sjht,0.00089,2017-12-29
93,szse.002608,江苏国信,jsgx,0.0005600000000000001,2017-12-29
94,szse.002624,完美世界,wmsj,0.0011200000000000001,2017-12-29
95,szse.002673,西部证券,xbzq,0.00184,2017-12-29
96,szse.002714,牧原股份,mygf,0.00157,2017-12-29
97,szse.002736,国信证券,gxzq,0.00227,2017-12-29
98,szse.002739,万达电影,wddy,0.00208,2017-12-29
99,szse.002797,第一创业,dycy,0.0017499999999999998,2017-12-29
100,szse.002831,裕同科技,ytkj,0.00021,2017-12-29
101,szse.002839,张家港行,zjgh,0.0002,2017-12-29
102,szse.002841,视源股份,sygf,0.00025,2017-12-29
