,code,name,block_name,weight,date
0,szse.000001,平安银行,payh,0.007209999999999999,2021-12-31
1,szse.000002,万科A,wka,0.006059999999999999,2021-12-31
2,szse.000063,中兴通讯,zxtx,0.0048,2021-12-31
3,szse.000066,中国长城,zgcc,0.00113,2021-12-31
4,szse.000069,华侨城A,hqca,0.0013,2021-12-31
5,szse.000100,TCL科技,tclkj,0.0039000000000000003,2021-12-31
6,szse.000157,中联重科,zlzk,0.0016,2021-12-31
7,szse.000166,申万宏源,swhy,0.0026,2021-12-31
8,szse.000301,东方盛虹,dfsh,0.00126,2021-12-31
9,szse.000333,美的集团,mdjt,0.01627,2021-12-31
10,szse.000338,潍柴动力,wcdl,0.00383,2021-12-31
11,szse.000425,徐工机械,xgjx,0.00148,2021-12-31
12,szse.000538,云南白药,ynby,0.00241,2021-12-31
13,szse.000568,泸州老窖,lzlj,0.00838,2021-12-31
14,szse.000596,古井贡酒,gjgj,0.00135,2021-12-31
15,szse.000625,长安汽车,caqc,0.00261,2021-12-31
16,szse.000651,格力电器,gldq,0.0079,2021-12-31
17,szse.000661,长春高新,ccgx,0.00396,2021-12-31
18,szse.000703,恒逸石化,hysh,0.00105,2021-12-31
19,szse.000708,中信特钢,zxtg,0.0009299999999999999,2021-12-31
20,szse.000725,京东方A,jdfa,0.00683,2021-12-31
21,szse.000768,中航西飞,zhxf,0.00228,2021-12-31
22,szse.000776,广发证券,gfzq,0.00328,2021-12-31
23,szse.000783,长江证券,cjzq,0.00132,2021-12-31
24,szse.000786,北新建材,bxjc,0.00164,2021-12-31
25,szse.000800,一汽解放,yqjf,0.00043,2021-12-31
26,szse.000858,五粮液,wly,0.01948,2021-12-31
27,szse.000876,新希望,xxw,0.00154,2021-12-31
28,szse.000895,双汇发展,shfz,0.00246,2021-12-31
29,szse.000938,紫光股份,zggf,0.00147,2021-12-31
30,szse.000963,华东医药,hdyy,0.00159,2021-12-31
31,szse.000977,浪潮信息,lcxx,0.00164,2021-12-31
32,szse.001979,招商蛇口,zssk,0.00191,2021-12-31
33,szse.002001,新和成,xhc,0.00217,2021-12-31
34,szse.002007,华兰生物,hlsw,0.0014399999999999999,2021-12-31
35,szse.002008,大族激光,dzjg,0.00208,2021-12-31
36,szse.002024,ST易购,styg,0.0006900000000000001,2021-12-31
37,szse.002027,分众传媒,fzcm,0.00373,2021-12-31
38,szse.002032,苏泊尔,sbe,0.00045,2021-12-31
39,szse.002044,美年健康,mnjk,0.00097,2021-12-31
40,szse.002049,紫光国微,zggw,0.00431,2021-12-31
41,szse.002050,三花智控,shzk,0.0020499999999999997,2021-12-31
42,szse.002064,华峰化学,hfhx,0.00065,2021-12-31
43,szse.002120,韵达股份,ydgf,0.00107,2021-12-31
44,szse.002129,TCL中环,tclzh,0.00426,2021-12-31
45,szse.002142,宁波银行,nbyh,0.006840000000000001,2021-12-31
46,szse.002157,正邦科技,zbkj,0.0006900000000000001,2021-12-31
47,szse.002179,中航光电,zhgd,0.00249,2021-12-31
48,szse.002202,金风科技,jfkj,0.0020499999999999997,2021-12-31
49,szse.002230,科大讯飞,kdxf,0.00436,2021-12-31
50,szse.002236,大华股份,dhgf,0.0019,2021-12-31
51,szse.002241,歌尔股份,gegf,0.005829999999999999,2021-12-31
52,szse.002252,上海莱士,shls,0.00124,2021-12-31
53,szse.002271,东方雨虹,dfyh,0.0042,2021-12-31
54,szse.002304,洋河股份,yhgf,0.0044800000000000005,2021-12-31
55,szse.002311,海大集团,hdjt,0.0027500000000000003,2021-12-31
56,szse.002352,顺丰控股,sfkg,0.0060999999999999995,2021-12-31
57,szse.002371,北方华创,bfhc,0.00411,2021-12-31
58,szse.002410,广联达,gld,0.0027400000000000002,2021-12-31
59,szse.002414,高德红外,gdhw,0.0010199999999999999,2021-12-31
60,szse.002415,海康威视,hkws,0.011009999999999999,2021-12-31
61,szse.002459,晶澳科技,jakj,0.00267,2021-12-31
62,szse.002460,赣锋锂业,gfly,0.005180000000000001,2021-12-31
63,szse.002466,天齐锂业,tqly,0.00499,2021-12-31
64,szse.002475,立讯精密,lxjm,0.01095,2021-12-31
65,szse.002493,荣盛石化,rssh,0.00249,2021-12-31
66,szse.002555,三七互娱,sqhy,0.0016200000000000001,2021-12-31
67,szse.002568,百润股份,brgf,0.00101,2021-12-31
68,szse.002594,比亚迪,byd,0.010960000000000001,2021-12-31
69,szse.002600,领益智造,lyzz,0.00094,2021-12-31
70,szse.002601,龙佰集团,lbjt,0.00153,2021-12-31
71,szse.002602,世纪华通,sjht,0.00169,2021-12-31
72,szse.002607,中公教育,zgjy,0.00066,2021-12-31
73,szse.002624,完美世界,wmsj,0.00107,2021-12-31
74,szse.002709,天赐材料,tccl,0.00296,2021-12-31
75,szse.002714,牧原股份,mygf,0.00633,2021-12-31
76,szse.002736,国信证券,gxzq,0.00149,2021-12-31
77,szse.002791,坚朗五金,jlwj,0.00105,2021-12-31
78,szse.002812,恩捷股份,ejgf,0.00605,2021-12-31
79,szse.002821,凯莱英,kly,0.0028799999999999997,2021-12-31
80,szse.002841,视源股份,sygf,0.00122,2021-12-31
81,szse.002916,深南电路,sndl,0.00107,2021-12-31
82,szse.002938,鹏鼎控股,pdkg,0.00133,2021-12-31
83,szse.003816,中国广核,zggh,0.00167,2021-12-31
84,szse.300003,乐普医疗,lpyl,0.0012900000000000001,2021-12-31
85,szse.300014,亿纬锂能,ywln,0.00604,2021-12-31
86,szse.300015,爱尔眼科,aeyk,0.00515,2021-12-31
87,szse.300033,同花顺,ths,0.0014000000000000002,2021-12-31
88,szse.300059,东方财富,dfcf,0.013839999999999998,2021-12-31
89,szse.300122,智飞生物,zfsw,0.00449,2021-12-31
90,szse.300124,汇川技术,hcjs,0.00569,2021-12-31
91,szse.300142,沃森生物,wssw,0.0039700000000000004,2021-12-31
92,szse.300144,宋城演艺,scyy,0.00101,2021-12-31
93,szse.300274,阳光电源,ygdy,0.00683,2021-12-31
94,szse.300316,晶盛机电,jsjd,0.00201,2021-12-31
95,szse.300347,泰格医药,tgyy,0.00302,2021-12-31
96,szse.300408,三环集团,shjt,0.00231,2021-12-31
97,szse.300413,芒果超媒,mgcm,0.00193,2021-12-31
98,szse.300433,蓝思科技,lskj,0.0020599999999999998,2021-12-31
99,szse.300450,先导智能,xdzn,0.00367,2021-12-31
100,szse.300498,温氏股份,wsgf,0.00386,2021-12-31
101,szse.300529,健帆生物,jfsw,0.00116,2021-12-31
102,szse.300558,贝达药业,bdyy,0.0009,2021-12-31
103,szse.300595,欧普康视,opks,0.00132,2021-12-31
104,szse.300601,康泰生物,ktsw,0.00183,2021-12-31
105,szse.300628,亿联网络,ylwl,0.00133,2021-12-31
106,szse.300676,华大基因,hdjy,0.00098,2021-12-31
107,szse.300677,英科医疗,ykyl,0.001,2021-12-31
108,szse.300750,宁德时代,ndsd,0.03708,2021-12-31
109,szse.300759,康龙化成,klhc,0.00168,2021-12-31
110,szse.300760,迈瑞医疗,mryl,0.00835,2021-12-31
111,szse.300782,卓胜微,zsw,0.00344,2021-12-31
112,szse.300866,安克创新,akcx,0.00075,2021-12-31
113,szse.300888,稳健医疗,wjyl,0.00032,2021-12-31
114,szse.300896,爱美客,amk,0.00209,2021-12-31
115,szse.300999,金龙鱼,jly,0.00123,2021-12-31
116,sse.600000,浦发银行,pfyh,0.00452,2021-12-31
117,sse.600009,上海机场,shjc,0.00203,2021-12-31
118,sse.600010,包钢股份,bggf,0.0028699999999999997,2021-12-31
119,sse.600011,华能国际,hngj,0.00192,2021-12-31
120,sse.600015,华夏银行,hxyh,0.00155,2021-12-31
121,sse.600016,民生银行,msyh,0.00437,2021-12-31
122,sse.600018,上港集团,sgjt,0.00086,2021-12-31
123,sse.600019,宝钢股份,bggf,0.0028799999999999997,2021-12-31
124,sse.600025,华能水电,hnsd,0.00053,2021-12-31
125,sse.600028,中国石化,zgsh,0.00255,2021-12-31
126,sse.600029,南方航空,nfhk,0.00156,2021-12-31
127,sse.600030,中信证券,zxzq,0.01014,2021-12-31
128,sse.600031,三一重工,syzg,0.00611,2021-12-31
129,sse.600036,招商银行,zsyh,0.02718,2021-12-31
130,sse.600048,保利发展,blfz,0.00506,2021-12-31
131,sse.600050,中国联通,zglt,0.00329,2021-12-31
132,sse.600061,国投资本,gtzb,0.00095,2021-12-31
133,sse.600079,人福医药,rfyy,0.00099,2021-12-31
134,sse.600085,同仁堂,trt,0.0013900000000000002,2021-12-31
135,sse.600104,上汽集团,sqjt,0.00435,2021-12-31
136,sse.600109,国金证券,gjzq,0.00124,2021-12-31
137,sse.600111,北方稀土,bfxt,0.0045000000000000005,2021-12-31
138,sse.600115,中国东航,zgdh,0.00127,2021-12-31
139,sse.600132,重庆啤酒,cqpj,0.00165,2021-12-31
140,sse.600143,金发科技,jfkj,0.0010199999999999999,2021-12-31
141,sse.600150,中国船舶,zgcb,0.002,2021-12-31
142,sse.600161,天坛生物,ttsw,0.0009,2021-12-31
143,sse.600176,中国巨石,zgjs,0.00197,2021-12-31
144,sse.600183,生益科技,sykj,0.00123,2021-12-31
145,sse.600196,复星医药,fxyy,0.00266,2021-12-31
146,sse.600276,恒瑞医药,hryy,0.01024,2021-12-31
147,sse.600309,万华化学,whhx,0.00715,2021-12-31
148,sse.600332,白云山,bys,0.00108,2021-12-31
149,sse.600346,恒力石化,hlsh,0.00219,2021-12-31
150,sse.600352,浙江龙盛,zjls,0.00148,2021-12-31
151,sse.600362,江西铜业,jxty,0.00104,2021-12-31
152,sse.600383,金地集团,jdjt,0.00132,2021-12-31
153,sse.600406,国电南瑞,gdnr,0.005,2021-12-31
154,sse.600426,华鲁恒升,hlhs,0.00209,2021-12-31
155,sse.600436,片仔癀,pzh,0.0059499999999999996,2021-12-31
156,sse.600438,通威股份,twgf,0.0054800000000000005,2021-12-31
157,sse.600489,中金黄金,zjhj,0.00108,2021-12-31
158,sse.600519,贵州茅台,gzmt,0.05806,2021-12-31
