,code,name,block_name,weight,date
0,szse.000001,平安银行,payh,0.010700000000000001,2014-12-31
1,szse.000002,万科A,wka,0.016,2014-12-31
2,szse.000009,中国宝安,zgba,0.0023,2014-12-31
3,szse.000024,招商地产,zsdc,0.0032,2014-12-31
4,szse.000027,深圳能源,szny,0.0011,2014-12-31
5,szse.000039,中集集团,zjjt,0.0022,2014-12-31
6,szse.000060,中金岭南,zjln,0.0016,2014-12-31
7,szse.000061,农产品,ncp,0.0021,2014-12-31
8,szse.000063,中兴通讯,zxtx,0.0042,2014-12-31
9,szse.000069,华侨城A,hqca,0.0036,2014-12-31
10,szse.000100,TCL科技,tclkj,0.0034000000000000002,2014-12-31
11,szse.000156,华数传媒,hscm,0.0002,2014-12-31
12,szse.000157,中联重科,zlzk,0.0037,2014-12-31
13,szse.000333,美的集团,mdjt,0.0069,2014-12-31
14,szse.000338,潍柴动力,wcdl,0.0034000000000000002,2014-12-31
15,szse.000400,许继电气,xjdq,0.0015,2014-12-31
16,szse.000401,冀东水泥,jdsn,0.0008,2014-12-31
17,szse.000402,金融街,jrj,0.0034999999999999996,2014-12-31
18,szse.000413,ST旭电,stxd,0.0015,2014-12-31
19,szse.000423,东阿阿胶,deej,0.0023,2014-12-31
20,szse.000425,徐工机械,xgjx,0.0018,2014-12-31
21,szse.000503,国新健康,gxjk,0.0027,2014-12-31
22,szse.000536,华映科技,hykj,0.0006,2014-12-31
23,szse.000538,云南白药,ynby,0.0039000000000000003,2014-12-31
24,szse.000559,万向钱潮,wxqc,0.0013,2014-12-31
25,szse.000562,宏源证券,hyzq,0.0058,2014-12-31
26,szse.000568,泸州老窖,lzlj,0.0017000000000000001,2014-12-31
27,szse.000581,威孚高科,wfgk,0.0019,2014-12-31
28,szse.000598,兴蓉环境,xrhj,0.0016,2014-12-31
29,szse.000623,吉林敖东,jlad,0.003,2014-12-31
30,szse.000625,长安汽车,caqc,0.0044,2014-12-31
31,szse.000629,钒钛股份,ftgf,0.0018,2014-12-31
32,szse.000630,铜陵有色,tlys,0.0014000000000000002,2014-12-31
33,szse.000651,格力电器,gldq,0.0106,2014-12-31
34,szse.000686,东北证券,dbzq,0.0028000000000000004,2014-12-31
35,szse.000709,河钢股份,hggf,0.0019,2014-12-31
36,szse.000725,京东方A,jdfa,0.0040999999999999995,2014-12-31
37,szse.000728,国元证券,gyzq,0.0036,2014-12-31
38,szse.000729,燕京啤酒,yjpj,0.0013,2014-12-31
39,szse.000750,国海证券,ghzq,0.0019,2014-12-31
40,szse.000768,中航西飞,zhxf,0.003,2014-12-31
41,szse.000776,广发证券,gfzq,0.0091,2014-12-31
42,szse.000778,新兴铸管,xxzg,0.0016,2014-12-31
43,szse.000783,长江证券,cjzq,0.0066,2014-12-31
44,szse.000792,盐湖股份,yhgf,0.0016,2014-12-31
45,szse.000793,华闻集团,hwjt,0.0016,2014-12-31
46,szse.000800,一汽解放,yqjf,0.0015,2014-12-31
47,szse.000825,太钢不锈,tgbx,0.0014000000000000002,2014-12-31
48,szse.000826,启迪环境,qdhj,0.0016,2014-12-31
49,szse.000831,中国稀土,zgxt,0.0021,2014-12-31
50,szse.000839,中信国安,zxga,0.0013,2014-12-31
51,szse.000858,五粮液,wly,0.0048,2014-12-31
52,szse.000869,张裕A,zya,0.0006,2014-12-31
53,szse.000876,新希望,xxw,0.001,2014-12-31
54,szse.000878,云南铜业,ynty,0.0012,2014-12-31
55,szse.000883,湖北能源,hbny,0.0016,2014-12-31
56,szse.000895,双汇发展,shfz,0.0025,2014-12-31
57,szse.000898,鞍钢股份,aggf,0.0013,2014-12-31
58,szse.000917,电广传媒,dgcm,0.0014000000000000002,2014-12-31
59,szse.000937,冀中能源,jzny,0.0008,2014-12-31
60,szse.000960,锡业股份,xygf,0.0017000000000000001,2014-12-31
61,szse.000963,华东医药,hdyy,0.0014000000000000002,2014-12-31
62,szse.000970,中科三环,zksh,0.0015,2014-12-31
63,szse.000983,山西焦煤,sxjm,0.0015,2014-12-31
64,szse.000999,华润三九,hrsj,0.0011,2014-12-31
65,szse.002001,新和成,xhc,0.001,2014-12-31
66,szse.002007,华兰生物,hlsw,0.0011,2014-12-31
67,szse.002008,大族激光,dzjg,0.0016,2014-12-31
68,szse.002024,ST易购,styg,0.004699999999999999,2014-12-31
69,szse.002038,双鹭药业,slyy,0.0013,2014-12-31
70,szse.002051,中工国际,zggj,0.001,2014-12-31
71,szse.002065,东华软件,dhrj,0.0016,2014-12-31
72,szse.002081,金螳螂,jtl,0.0018,2014-12-31
73,szse.002129,TCL中环,tclzh,0.001,2014-12-31
74,szse.002142,宁波银行,nbyh,0.0018,2014-12-31
75,szse.002146,荣盛发展,rsfz,0.0011,2014-12-31
76,szse.002153,石基信息,sjxx,0.001,2014-12-31
77,szse.002202,金风科技,jfkj,0.0026,2014-12-31
78,szse.002230,科大讯飞,kdxf,0.0018,2014-12-31
79,szse.002236,大华股份,dhgf,0.0015,2014-12-31
80,szse.002241,歌尔股份,gegf,0.0022,2014-12-31
81,szse.002252,上海莱士,shls,0.0015,2014-12-31
82,szse.002292,奥飞娱乐,afyl,0.0007000000000000001,2014-12-31
83,szse.002294,信立泰,xlt,0.0008,2014-12-31
84,szse.002304,洋河股份,yhgf,0.003,2014-12-31
85,szse.002310,*ST东园,*stdy,0.0009,2014-12-31
86,szse.002344,海宁皮城,hnpc,0.0011,2014-12-31
87,szse.002353,杰瑞股份,jrgf,0.0017000000000000001,2014-12-31
88,szse.002375,亚厦股份,ysgf,0.0008,2014-12-31
89,szse.002385,大北农,dbn,0.0013,2014-12-31
90,szse.002399,海普瑞,hpr,0.0007000000000000001,2014-12-31
91,szse.002400,省广集团,sgjt,0.0012,2014-12-31
92,szse.002410,广联达,gld,0.001,2014-12-31
93,szse.002415,海康威视,hkws,0.0032,2014-12-31
94,szse.002416,爱施德,asd,0.0003,2014-12-31
95,szse.002422,科伦药业,klyy,0.0013,2014-12-31
96,szse.002429,兆驰股份,zcgf,0.0006,2014-12-31
97,szse.002450,康得退,kdt,0.0026,2014-12-31
98,szse.002456,欧菲光,ofg,0.0014000000000000002,2014-12-31
99,szse.002465,海格通信,hgtx,0.0018,2014-12-31
100,szse.002470,金正大,jzd,0.001,2014-12-31
101,szse.002475,立讯精密,lxjm,0.0008,2014-12-31
102,szse.002500,山西证券,sxzq,0.0019,2014-12-31
103,szse.002570,贝因美,bym,0.0012,2014-12-31
104,szse.002594,比亚迪,byd,0.0021,2014-12-31
105,szse.002603,以岭药业,ylyy,0.0008,2014-12-31
106,szse.002653,海思科,hsk,0.0004,2014-12-31
107,szse.002673,西部证券,xbzq,0.0021,2014-12-31
108,szse.300015,爱尔眼科,aeyk,0.0009,2014-12-31
109,szse.300017,网宿科技,wskj,0.0013,2014-12-31
110,szse.300024,机器人,jqr,0.0025,2014-12-31
111,szse.300027,华谊兄弟,hyxd,0.0027,2014-12-31
112,szse.300058,蓝色光标,lsgb,0.0015,2014-12-31
113,szse.300070,碧水源,bsy,0.0022,2014-12-31
114,szse.300124,汇川技术,hcjs,0.0016,2014-12-31
115,szse.300133,华策影视,hcys,0.0008,2014-12-31
116,szse.300146,汤臣倍健,tcbj,0.0008,2014-12-31
117,szse.300251,光线传媒,gxcm,0.0011,2014-12-31
118,sse.600000,浦发银行,pfyh,0.0209,2014-12-31
119,sse.600008,首创环保,schb,0.0015,2014-12-31
120,sse.600009,上海机场,shjc,0.0022,2014-12-31
121,sse.600010,包钢股份,bggf,0.0039000000000000003,2014-12-31
122,sse.600011,华能国际,hngj,0.0044,2014-12-31
123,sse.600015,华夏银行,hxyh,0.0070999999999999995,2014-12-31
124,sse.600016,民生银行,msyh,0.035,2014-12-31
125,sse.600018,上港集团,sgjt,0.0034999999999999996,2014-12-31
126,sse.600019,宝钢股份,bggf,0.0040999999999999995,2014-12-31
127,sse.600023,浙能电力,zndl,0.0007000000000000001,2014-12-31
128,sse.600027,华电国际,hdgj,0.0018,2014-12-31
129,sse.600028,中国石化,zgsh,0.0043,2014-12-31
130,sse.600029,南方航空,nfhk,0.0022,2014-12-31
131,sse.600030,中信证券,zxzq,0.0317,2014-12-31
132,sse.600031,三一重工,syzg,0.0036,2014-12-31
133,sse.600036,招商银行,zsyh,0.0325,2014-12-31
134,sse.600038,中直股份,zzgf,0.0008,2014-12-31
135,sse.600048,保利发展,blfz,0.0083,2014-12-31
136,sse.600050,中国联通,zglt,0.005,2014-12-31
137,sse.600058,五矿发展,wkfz,0.0009,2014-12-31
138,sse.600060,海信视像,hxsx,0.0011,2014-12-31
139,sse.600066,宇通客车,ytkc,0.0024,2014-12-31
140,sse.600068,葛洲坝,gzb,0.0026,2014-12-31
141,sse.600079,人福医药,rfyy,0.0016,2014-12-31
142,sse.600085,同仁堂,trt,0.0017000000000000001,2014-12-31
143,sse.600089,特变电工,tbdg,0.0038,2014-12-31
144,sse.600100,同方股份,tfgf,0.0024,2014-12-31
145,sse.600104,上汽集团,sqjt,0.0084,2014-12-31
146,sse.600108,亚盛集团,ysjt,0.0017000000000000001,2014-12-31
147,sse.600109,国金证券,gjzq,0.0037,2014-12-31
148,sse.600111,北方稀土,bfxt,0.0045000000000000005,2014-12-31
149,sse.600115,中国东航,zgdh,0.0016,2014-12-31
150,sse.600118,中国卫星,zgwx,0.002,2014-12-31
151,sse.600143,金发科技,jfkj,0.0013,2014-12-31
152,sse.600150,中国船舶,zgcb,0.003,2014-12-31
153,sse.600153,建发股份,jfgf,0.0021,2014-12-31
154,sse.600157,永泰能源,ytny,0.0011,2014-12-31
155,sse.600166,福田汽车,ftqc,0.0013,2014-12-31
156,sse.600170,上海建工,shjg,0.0014000000000000002,2014-12-31
157,sse.600177,雅戈尔,yge,0.0021,2014-12-31
