,code,name,block_name,weight,date
0,szse.000001,平安银行,payh,0.0,2013-12-16
1,szse.000002,万科A,wka,0.0,2013-12-16
2,szse.000009,中国宝安,zgba,0.0,2013-12-16
3,szse.000012,南玻A,nba,0.0,2013-12-16
4,szse.000024,招商地产,zsdc,0.0,2013-12-16
5,szse.000039,中集集团,zjjt,0.0,2013-12-16
6,szse.000046,*ST泛海,*stfh,0.0,2013-12-16
7,szse.000060,中金岭南,zjln,0.0,2013-12-16
8,szse.000061,农产品,ncp,0.0,2013-12-16
9,szse.000063,中兴通讯,zxtx,0.0,2013-12-16
10,szse.000069,华侨城A,hqca,0.0,2013-12-16
11,szse.000100,TCL科技,tclkj,0.0,2013-12-16
12,szse.000156,华数传媒,hscm,0.0,2013-12-16
13,szse.000157,中联重科,zlzk,0.0,2013-12-16
14,szse.000333,美的集团,mdjt,0.0,2013-12-16
15,szse.000338,潍柴动力,wcdl,0.0,2013-12-16
16,szse.000400,许继电气,xjdq,0.0,2013-12-16
17,szse.000401,冀东水泥,jdsn,0.0,2013-12-16
18,szse.000402,金融街,jrj,0.0,2013-12-16
19,szse.000423,东阿阿胶,deej,0.0,2013-12-16
20,szse.000425,徐工机械,xgjx,0.0,2013-12-16
21,szse.000528,柳工,lg,0.0,2013-12-16
22,szse.000536,华映科技,hykj,0.0,2013-12-16
23,szse.000538,云南白药,ynby,0.0,2013-12-16
24,szse.000562,宏源证券,hyzq,0.0,2013-12-16
25,szse.000568,泸州老窖,lzlj,0.0,2013-12-16
26,szse.000581,威孚高科,wfgk,0.0,2013-12-16
27,szse.000596,古井贡酒,gjgj,0.0,2013-12-16
28,szse.000598,兴蓉环境,xrhj,0.0,2013-12-16
29,szse.000623,吉林敖东,jlad,0.0,2013-12-16
30,szse.000625,长安汽车,caqc,0.0,2013-12-16
31,szse.000629,钒钛股份,ftgf,0.0,2013-12-16
32,szse.000630,铜陵有色,tlys,0.0,2013-12-16
33,szse.000651,格力电器,gldq,0.0,2013-12-16
34,szse.000656,*ST金科,*stjk,0.0,2013-12-16
35,szse.000686,东北证券,dbzq,0.0,2013-12-16
36,szse.000703,恒逸石化,hysh,0.0,2013-12-16
37,szse.000709,河钢股份,hggf,0.0,2013-12-16
38,szse.000718,苏宁环球,snhq,0.0,2013-12-16
39,szse.000725,京东方A,jdfa,0.0,2013-12-16
40,szse.000728,国元证券,gyzq,0.0,2013-12-16
41,szse.000729,燕京啤酒,yjpj,0.0,2013-12-16
42,szse.000750,国海证券,ghzq,0.0,2013-12-16
43,szse.000758,中色股份,zsgf,0.0,2013-12-16
44,szse.000768,中航西飞,zhxf,0.0,2013-12-16
45,szse.000776,广发证券,gfzq,0.0,2013-12-16
46,szse.000778,新兴铸管,xxzg,0.0,2013-12-16
47,szse.000783,长江证券,cjzq,0.0,2013-12-16
48,szse.000792,盐湖股份,yhgf,0.0,2013-12-16
49,szse.000793,华闻集团,hwjt,0.0,2013-12-16
50,szse.000800,一汽解放,yqjf,0.0,2013-12-16
51,szse.000826,启迪环境,qdhj,0.0,2013-12-16
52,szse.000831,中国稀土,zgxt,0.0,2013-12-16
53,szse.000839,中信国安,zxga,0.0,2013-12-16
54,szse.000858,五粮液,wly,0.0,2013-12-16
55,szse.000869,张裕A,zya,0.0,2013-12-16
56,szse.000876,新希望,xxw,0.0,2013-12-16
57,szse.000878,云南铜业,ynty,0.0,2013-12-16
58,szse.000895,双汇发展,shfz,0.0,2013-12-16
59,szse.000933,神火股份,shgf,0.0,2013-12-16
60,szse.000937,冀中能源,jzny,0.0,2013-12-16
61,szse.000960,锡业股份,xygf,0.0,2013-12-16
62,szse.000961,ST中南,stzn,0.0,2013-12-16
63,szse.000963,华东医药,hdyy,0.0,2013-12-16
64,szse.000970,中科三环,zksh,0.0,2013-12-16
65,szse.000983,山西焦煤,sxjm,0.0,2013-12-16
66,szse.000999,华润三九,hrsj,0.0,2013-12-16
67,szse.002001,新和成,xhc,0.0,2013-12-16
68,szse.002007,华兰生物,hlsw,0.0,2013-12-16
69,szse.002024,ST易购,styg,0.0,2013-12-16
70,szse.002038,双鹭药业,slyy,0.0,2013-12-16
71,szse.002051,中工国际,zggj,0.0,2013-12-16
72,szse.002065,东华软件,dhrj,0.0,2013-12-16
73,szse.002069,獐子岛,zzd,0.0,2013-12-16
74,szse.002081,金螳螂,jtl,0.0,2013-12-16
75,szse.002106,莱宝高科,lbgk,0.0,2013-12-16
76,szse.002129,TCL中环,tclzh,0.0,2013-12-16
77,szse.002142,宁波银行,nbyh,0.0,2013-12-16
78,szse.002146,荣盛发展,rsfz,0.0,2013-12-16
79,szse.002155,湖南黄金,hnhj,0.0,2013-12-16
80,szse.002202,金风科技,jfkj,0.0,2013-12-16
81,szse.002230,科大讯飞,kdxf,0.0,2013-12-16
82,szse.002236,大华股份,dhgf,0.0,2013-12-16
83,szse.002241,歌尔股份,gegf,0.0,2013-12-16
