,code,name,block_name,weight,date
0,szse.000001,平安银行,payh,0.00685,2022-12-30
1,szse.000002,万科A,wka,0.00664,2022-12-30
2,szse.000063,中兴通讯,zxtx,0.00441,2022-12-30
3,szse.000069,华侨城A,hqca,0.00117,2022-12-30
4,szse.000100,TCL科技,tclkj,0.00272,2022-12-30
5,szse.000157,中联重科,zlzk,0.00145,2022-12-30
6,szse.000166,申万宏源,swhy,0.00192,2022-12-30
7,szse.000301,东方盛虹,dfsh,0.0013,2022-12-30
8,szse.000333,美的集团,mdjt,0.013600000000000001,2022-12-30
9,szse.000338,潍柴动力,wcdl,0.00296,2022-12-30
10,szse.000408,藏格矿业,zgky,0.0008799999999999999,2022-12-30
11,szse.000425,徐工机械,xgjx,0.00161,2022-12-30
12,szse.000538,云南白药,ynby,0.00209,2022-12-30
13,szse.000568,泸州老窖,lzlj,0.00885,2022-12-30
14,szse.000596,古井贡酒,gjgj,0.00234,2022-12-30
15,szse.000625,长安汽车,caqc,0.00328,2022-12-30
16,szse.000651,格力电器,gldq,0.00781,2022-12-30
17,szse.000661,长春高新,ccgx,0.0028899999999999998,2022-12-30
18,szse.000708,中信特钢,zxtg,0.0009299999999999999,2022-12-30
19,szse.000723,美锦能源,mjny,0.00126,2022-12-30
20,szse.000725,京东方A,jdfa,0.0068000000000000005,2022-12-30
21,szse.000733,振华科技,zhkj,0.00222,2022-12-30
22,szse.000768,中航西飞,zhxf,0.00189,2022-12-30
23,szse.000776,广发证券,gfzq,0.00246,2022-12-30
24,szse.000786,北新建材,bxjc,0.0014099999999999998,2022-12-30
25,szse.000792,盐湖股份,yhgf,0.00661,2022-12-30
26,szse.000800,一汽解放,yqjf,0.00039,2022-12-30
27,szse.000858,五粮液,wly,0.018799999999999997,2022-12-30
28,szse.000876,新希望,xxw,0.00157,2022-12-30
29,szse.000877,天山股份,tsgf,0.00043999999999999996,2022-12-30
30,szse.000895,双汇发展,shfz,0.0014399999999999999,2022-12-30
31,szse.000938,紫光股份,zggf,0.00209,2022-12-30
32,szse.000963,华东医药,hdyy,0.0022,2022-12-30
33,szse.000977,浪潮信息,lcxx,0.0011799999999999998,2022-12-30
34,szse.001289,龙源电力,lydl,0.00015,2022-12-30
35,szse.001979,招商蛇口,zssk,0.0021,2022-12-30
36,szse.002001,新和成,xhc,0.0018599999999999999,2022-12-30
37,szse.002007,华兰生物,hlsw,0.00133,2022-12-30
38,szse.002008,大族激光,dzjg,0.00116,2022-12-30
39,szse.002027,分众传媒,fzcm,0.00362,2022-12-30
40,szse.002032,苏泊尔,sbe,0.00043,2022-12-30
41,szse.002049,紫光国微,zggw,0.0048,2022-12-30
42,szse.002050,三花智控,shzk,0.00245,2022-12-30
43,szse.002064,华峰化学,hfhx,0.0007199999999999999,2022-12-30
44,szse.002074,国轩高科,gxgk,0.00165,2022-12-30
45,szse.002120,韵达股份,ydgf,0.0011200000000000001,2022-12-30
46,szse.002129,TCL中环,tclzh,0.00522,2022-12-30
47,szse.002142,宁波银行,nbyh,0.006889999999999999,2022-12-30
