,code,name,block_name,weight,date
0,szse.000001,平安银行,payh,0.00957,2020-12-31
1,szse.000002,万科A,wka,0.00996,2020-12-31
2,szse.000063,中兴通讯,zxtx,0.0046300000000000004,2020-12-31
3,szse.000066,中国长城,zgcc,0.0017000000000000001,2020-12-31
4,szse.000069,华侨城A,hqca,0.00148,2020-12-31
5,szse.000100,TCL科技,tclkj,0.00506,2020-12-31
6,szse.000157,中联重科,zlzk,0.00231,2020-12-31
7,szse.000166,申万宏源,swhy,0.00243,2020-12-31
8,szse.000333,美的集团,mdjt,0.02467,2020-12-31
9,szse.000338,潍柴动力,wcdl,0.00386,2020-12-31
10,szse.000425,徐工机械,xgjx,0.0012900000000000001,2020-12-31
11,szse.000538,云南白药,ynby,0.00296,2020-12-31
12,szse.000568,泸州老窖,lzlj,0.00844,2020-12-31
13,szse.000596,古井贡酒,gjgj,0.0016,2020-12-31
14,szse.000625,长安汽车,caqc,0.00249,2020-12-31
15,szse.000627,天茂集团,tmjt,0.00049,2020-12-31
16,szse.000651,格力电器,gldq,0.0152,2020-12-31
17,szse.000656,*ST金科,*stjk,0.00116,2020-12-31
18,szse.000661,长春高新,ccgx,0.0064800000000000005,2020-12-31
19,szse.000671,ST阳光城,stygc,0.00055,2020-12-31
20,szse.000703,恒逸石化,hysh,0.0012,2020-12-31
21,szse.000708,中信特钢,zxtg,0.0011200000000000001,2020-12-31
22,szse.000723,美锦能源,mjny,0.0006900000000000001,2020-12-31
23,szse.000725,京东方A,jdfa,0.008289999999999999,2020-12-31
24,szse.000728,国元证券,gyzq,0.0012,2020-12-31
25,szse.000768,中航西飞,zhxf,0.0025900000000000003,2020-12-31
26,szse.000776,广发证券,gfzq,0.00246,2020-12-31
27,szse.000783,长江证券,cjzq,0.00166,2020-12-31
28,szse.000786,北新建材,bxjc,0.00207,2020-12-31
29,szse.000858,五粮液,wly,0.02888,2020-12-31
30,szse.000860,顺鑫农业,sxny,0.00192,2020-12-31
31,szse.000876,新希望,xxw,0.0025700000000000002,2020-12-31
32,szse.000895,双汇发展,shfz,0.00249,2020-12-31
33,szse.000938,紫光股份,zggf,0.00149,2020-12-31
34,szse.000961,ST中南,stzn,0.0008500000000000001,2020-12-31
35,szse.000963,华东医药,hdyy,0.0011799999999999998,2020-12-31
36,szse.000977,浪潮信息,lcxx,0.0013900000000000002,2020-12-31
37,szse.001979,招商蛇口,zssk,0.00215,2020-12-31
38,szse.002001,新和成,xhc,0.00221,2020-12-31
39,szse.002007,华兰生物,hlsw,0.0023599999999999997,2020-12-31
40,szse.002008,大族激光,dzjg,0.0018599999999999999,2020-12-31
41,szse.002024,ST易购,styg,0.00146,2020-12-31
42,szse.002027,分众传媒,fzcm,0.00517,2020-12-31
43,szse.002032,苏泊尔,sbe,0.00065,2020-12-31
44,szse.002044,美年健康,mnjk,0.00158,2020-12-31
45,szse.002049,紫光国微,zggw,0.0029,2020-12-31
46,szse.002050,三花智控,shzk,0.00226,2020-12-31
47,szse.002120,韵达股份,ydgf,0.0009299999999999999,2020-12-31
48,szse.002129,TCL中环,tclzh,0.0023699999999999997,2020-12-31
49,szse.002142,宁波银行,nbyh,0.005410000000000001,2020-12-31
50,szse.002146,荣盛发展,rsfz,0.00058,2020-12-31
51,szse.002153,石基信息,sjxx,0.0005099999999999999,2020-12-31
52,szse.002157,正邦科技,zbkj,0.00109,2020-12-31
53,szse.002179,中航光电,zhgd,0.0022,2020-12-31
54,szse.002202,金风科技,jfkj,0.00201,2020-12-31
55,szse.002230,科大讯飞,kdxf,0.00366,2020-12-31
56,szse.002236,大华股份,dhgf,0.00182,2020-12-31
57,szse.002241,歌尔股份,gegf,0.00432,2020-12-31
58,szse.002252,上海莱士,shls,0.0010199999999999999,2020-12-31
