,code,name,block_name,weight,date
0,szse.000001,平安银行,payh,0.00857,2018-12-28
1,szse.000002,万科A,wka,0.01233,2018-12-28
2,szse.000063,中兴通讯,zxtx,0.00496,2018-12-28
3,szse.000069,华侨城A,hqca,0.0027700000000000003,2018-12-28
4,szse.000100,TCL科技,tclkj,0.0028299999999999996,2018-12-28
5,szse.000157,中联重科,zlzk,0.0017000000000000001,2018-12-28
6,szse.000166,申万宏源,swhy,0.00293,2018-12-28
7,szse.000333,美的集团,mdjt,0.0182,2018-12-28
8,szse.000338,潍柴动力,wcdl,0.0039700000000000004,2018-12-28
9,szse.000402,金融街,jrj,0.00082,2018-12-28
10,szse.000408,藏格矿业,zgky,0.0007099999999999999,2018-12-28
11,szse.000413,ST旭电,stxd,0.00184,2018-12-28
12,szse.000415,渤海租赁,bhzl,0.0007099999999999999,2018-12-28
13,szse.000423,东阿阿胶,deej,0.00193,2018-12-28
14,szse.000425,徐工机械,xgjx,0.0016200000000000001,2018-12-28
15,szse.000503,国新健康,gxjk,0.00122,2018-12-28
16,szse.000538,云南白药,ynby,0.0040999999999999995,2018-12-28
17,szse.000553,安道麦A,adma,0.00024,2018-12-28
18,szse.000568,泸州老窖,lzlj,0.00317,2018-12-28
19,szse.000625,长安汽车,caqc,0.0013700000000000001,2018-12-28
20,szse.000627,天茂集团,tmjt,0.00089,2018-12-28
21,szse.000630,铜陵有色,tlys,0.00132,2018-12-28
22,szse.000651,格力电器,gldq,0.01828,2018-12-28
23,szse.000661,长春高新,ccgx,0.00254,2018-12-28
24,szse.000671,ST阳光城,stygc,0.00089,2018-12-28
25,szse.000703,恒逸石化,hysh,0.00161,2018-12-28
26,szse.000709,河钢股份,hggf,0.00128,2018-12-28
27,szse.000725,京东方A,jdfa,0.00664,2018-12-28
28,szse.000728,国元证券,gyzq,0.0015,2018-12-28
29,szse.000768,中航西飞,zhxf,0.0019500000000000001,2018-12-28
30,szse.000776,广发证券,gfzq,0.0039900000000000005,2018-12-28
31,szse.000783,长江证券,cjzq,0.00212,2018-12-28
32,szse.000786,北新建材,bxjc,0.00124,2018-12-28
33,szse.000792,盐湖股份,yhgf,0.00104,2018-12-28
34,szse.000826,启迪环境,qdhj,0.00079,2018-12-28
35,szse.000839,中信国安,zxga,0.00098,2018-12-28
36,szse.000858,五粮液,wly,0.010509999999999999,2018-12-28
37,szse.000876,新希望,xxw,0.0016300000000000002,2018-12-28
38,szse.000895,双汇发展,shfz,0.00249,2018-12-28
39,szse.000898,鞍钢股份,aggf,0.00101,2018-12-28
40,szse.000938,紫光股份,zggf,0.00068,2018-12-28
41,szse.000959,首钢股份,sggf,0.00063,2018-12-28
42,szse.000961,ST中南,stzn,0.00111,2018-12-28
43,szse.000963,华东医药,hdyy,0.0020499999999999997,2018-12-28
44,szse.000983,山西焦煤,sxjm,0.00092,2018-12-28
45,szse.001965,招商公路,zsgl,0.00048,2018-12-28
46,szse.001979,招商蛇口,zssk,0.00438,2018-12-28
47,szse.002001,新和成,xhc,0.0013700000000000001,2018-12-28
48,szse.002007,华兰生物,hlsw,0.0019500000000000001,2018-12-28
49,szse.002008,大族激光,dzjg,0.0027600000000000003,2018-12-28
50,szse.002024,ST易购,styg,0.0039000000000000003,2018-12-28
51,szse.002027,分众传媒,fzcm,0.00409,2018-12-28
52,szse.002032,苏泊尔,sbe,0.00092,2018-12-28
53,szse.002044,美年健康,mnjk,0.00298,2018-12-28
54,szse.002050,三花智控,shzk,0.0014399999999999999,2018-12-28
55,szse.002065,东华软件,dhrj,0.0013800000000000002,2018-12-28
56,szse.002081,金螳螂,jtl,0.0013700000000000001,2018-12-28
57,szse.002085,万丰奥威,wfaw,0.00108,2018-12-28
58,szse.002120,韵达股份,ydgf,0.00043999999999999996,2018-12-28
59,szse.002142,宁波银行,nbyh,0.0045000000000000005,2018-12-28
60,szse.002146,荣盛发展,rsfz,0.00147,2018-12-28
61,szse.002153,石基信息,sjxx,0.0008799999999999999,2018-12-28
62,szse.002179,中航光电,zhgd,0.0014199999999999998,2018-12-28
63,szse.002202,金风科技,jfkj,0.00247,2018-12-28
64,szse.002230,科大讯飞,kdxf,0.00384,2018-12-28
65,szse.002236,大华股份,dhgf,0.00219,2018-12-28
66,szse.002241,歌尔股份,gegf,0.0014299999999999998,2018-12-28
67,szse.002252,上海莱士,shls,0.00127,2018-12-28
68,szse.002271,东方雨虹,dfyh,0.00124,2018-12-28
69,szse.002294,信立泰,xlt,0.0009299999999999999,2018-12-28
70,szse.002304,洋河股份,yhgf,0.0060799999999999995,2018-12-28
71,szse.002310,*ST东园,*stdy,0.00099,2018-12-28
72,szse.002311,海大集团,hdjt,0.0019500000000000001,2018-12-28
73,szse.002352,顺丰控股,sfkg,0.00169,2018-12-28
74,szse.002411,必康退,bkt,0.0006900000000000001,2018-12-28
75,szse.002415,海康威视,hkws,0.01012,2018-12-28
76,szse.002422,科伦药业,klyy,0.0019,2018-12-28
77,szse.002450,康得退,kdt,0.0017299999999999998,2018-12-28
78,szse.002456,欧菲光,ofg,0.0018599999999999999,2018-12-28
79,szse.002460,赣锋锂业,gfly,0.00183,2018-12-28
80,szse.002466,天齐锂业,tqly,0.00214,2018-12-28
81,szse.002468,申通快递,stkd,0.00054,2018-12-28
82,szse.002475,立讯精密,lxjm,0.00369,2018-12-28
83,szse.002493,荣盛石化,rssh,0.00135,2018-12-28
84,szse.002508,老板电器,lbdq,0.0010199999999999999,2018-12-28
85,szse.002555,三七互娱,sqhy,0.00064,2018-12-28
86,szse.002558,巨人网络,jrwl,0.00125,2018-12-28
87,szse.002572,索菲亚,sfy,0.00115,2018-12-28
88,szse.002594,比亚迪,byd,0.00492,2018-12-28
89,szse.002601,龙佰集团,lbjt,0.0008,2018-12-28
90,szse.002602,世纪华通,sjht,0.0010299999999999999,2018-12-28
91,szse.002624,完美世界,wmsj,0.00117,2018-12-28
92,szse.002625,光启技术,gqjs,0.00045,2018-12-28
93,szse.002673,西部证券,xbzq,0.0014299999999999998,2018-12-28
94,szse.002714,牧原股份,mygf,0.00191,2018-12-28
95,szse.002736,国信证券,gxzq,0.00219,2018-12-28
96,szse.002773,康弘药业,khyy,0.00049,2018-12-28
97,szse.002797,第一创业,dycy,0.00121,2018-12-28
98,szse.002925,盈趣科技,yqkj,0.00043,2018-12-28
99,szse.300003,乐普医疗,lpyl,0.0023699999999999997,2018-12-28
100,szse.300015,爱尔眼科,aeyk,0.00267,2018-12-28
101,szse.300017,网宿科技,wskj,0.00122,2018-12-28
102,szse.300024,机器人,jqr,0.00154,2018-12-28
103,szse.300033,同花顺,ths,0.0008699999999999999,2018-12-28
104,szse.300059,东方财富,dfcf,0.00466,2018-12-28
105,szse.300070,碧水源,bsy,0.00157,2018-12-28
106,szse.300072,海新能科,hxnk,0.00123,2018-12-28
107,szse.300122,智飞生物,zfsw,0.00198,2018-12-28
108,szse.300124,汇川技术,hcjs,0.00214,2018-12-28
109,szse.300136,信维通信,xwtx,0.0018,2018-12-28
110,szse.300142,沃森生物,wssw,0.0025,2018-12-28
111,szse.300144,宋城演艺,scyy,0.00165,2018-12-28
112,szse.300251,光线传媒,gxcm,0.0007099999999999999,2018-12-28
113,szse.300296,利亚德,lyd,0.00125,2018-12-28
114,szse.300408,三环集团,shjt,0.00188,2018-12-28
115,szse.300433,蓝思科技,lskj,0.00055,2018-12-28
116,sse.600000,浦发银行,pfyh,0.01225,2018-12-28
117,sse.600004,白云机场,byjc,0.00111,2018-12-28
118,sse.600009,上海机场,shjc,0.00521,2018-12-28
119,sse.600010,包钢股份,bggf,0.0028699999999999997,2018-12-28
